P1 Avg. Speak,P2 Avg. Speak,P1 Avg. Rank,P2 Avg. Rank,P1 W:L,P2 W:L,P3 Avg. Speak,P4 Avg. Speak,P3 Avg. Rank,P4 Avg. Rank,P3 W:L,P4 W:L,Winner G/O
28.11,27.58,2.11,2.62,1.38,1.0,26.3,25.5,2.1,2.96,1.0,0.5,G
27.6,25.22,2.0,3.0,1.0,0.8,24.71,26.58,3.43,3.05,0.27,0.46,O
27.6,25.22,2.0,3.0,1.0,0.8,28.13,28.16,2.13,2.68,0.88,0.58,O
27.6,25.22,2.0,3.0,1.0,0.8,28.93,27.8,2.4,3.2,1.73,0.67,G
30.0,32.2,2.4,1.2,4.0,4.0,24.62,26.2,3.38,3.0,0.32,0.25,O
30.0,32.2,2.4,1.2,4.0,4.0,22.0,22.0,3.0,3.0,0.33,0.33,G
30.0,32.2,2.4,1.2,4.0,4.0,29.47,28.13,1.97,3.07,1.31,1.5,G
30.0,32.2,2.4,1.2,4.0,4.0,29.4,29.2,1.92,1.97,2.57,1.73,G
29.73,28.23,1.8,2.67,1.14,1.0,27.9,26.9,2.7,3.1,1.0,0.43,G
29.73,28.23,1.8,2.67,1.14,1.0,26.07,27.58,2.79,2.92,0.56,0.6,O
29.73,28.23,1.8,2.67,1.14,1.0,30.3,31.0,2.5,1.2,4.0,4.0,G
28.6,29.4,2.6,2.07,0.67,1.5,22.0,22.0,3.0,3.0,0.33,0.33,G
28.6,29.4,2.6,2.07,0.67,1.5,26.0,26.29,2.67,3.71,0.0,0.0,O
28.6,28.52,2.2,2.68,1.5,1.5,29.1,29.1,2.6,3.0,0.67,1.5,G
25.6,26.33,2.8,2.44,0.67,0.5,25.14,26.15,3.36,2.62,0.17,0.18,G
30.35,28.17,2.03,2.8,1.83,1.0,29.3,29.29,2.4,2.5,1.5,1.8,G
30.35,28.17,2.03,2.8,1.83,1.0,25.33,27.0,3.67,2.75,0.29,0.33,O
30.35,28.17,2.03,2.8,1.83,1.0,28.93,27.8,2.4,3.2,1.73,0.67,G
30.13,29.77,1.79,1.82,3.88,3.0,29.4,29.2,1.92,1.97,2.57,1.73,G
30.13,29.77,1.79,1.82,3.88,3.0,31.0,30.57,1.86,2.24,2.5,2.38,G
30.13,29.77,1.79,1.82,3.88,3.0,31.2,30.73,1.63,2.0,3.29,2.64,G
30.13,29.77,1.79,1.82,3.88,3.0,31.02,32.24,2.62,1.24,5.67,6.5,O
31.47,31.22,1.62,1.39,7.5,6.71,29.0,28.98,2.6,2.38,1.5,1.35,G
31.47,31.22,1.62,1.39,7.5,6.71,26.3,25.5,2.1,2.96,1.0,0.5,O
31.47,31.22,1.62,1.39,7.5,6.71,29.47,26.78,2.12,2.44,1.29,0.5,G
31.47,31.22,1.62,1.39,7.5,6.71,29.0,29.25,2.5,2.5,1.0,1.0,O
31.47,31.22,1.62,1.39,7.5,6.71,31.53,30.44,2.0,1.87,6.5,2.9,G
29.1,29.1,2.6,3.0,0.67,1.5,28.2,29.47,2.6,2.18,1.0,1.0,G
29.1,29.1,2.6,3.0,0.67,1.5,29.68,29.44,2.6,1.88,1.35,1.78,G
30.27,28.7,2.0,2.9,4.0,4.0,28.47,26.68,2.16,3.28,0.73,0.56,O
30.27,28.7,2.0,2.9,4.0,4.0,28.38,26.75,1.85,2.0,1.6,3.0,G
30.27,28.7,2.0,2.9,4.0,4.0,28.21,26.64,2.05,3.21,0.73,0.56,G
27.8,27.9,2.87,2.8,0.67,1.0,26.5,27.33,3.25,2.67,0.2,0.2,G
27.8,27.9,2.87,2.8,0.67,1.0,29.0,27.0,2.42,2.75,0.5,0.33,O
30.69,30.9,1.78,1.82,6.5,5.25,29.0,28.36,2.0,2.84,1.5,0.92,G
30.69,30.9,1.78,1.82,6.5,5.25,29.6,30.05,1.8,1.75,0.67,1.86,G
30.69,30.9,1.78,1.82,6.5,5.25,26.0,26.29,2.67,3.71,0.0,0.0,O
30.69,30.9,1.78,1.82,6.5,5.25,28.4,28.55,1.93,2.35,1.14,0.67,G
28.13,28.16,2.13,2.68,0.88,0.58,25.8,24.33,2.6,3.67,0.25,0.0,G
28.13,28.16,2.13,2.68,0.88,0.58,26.67,26.5,2.5,3.43,0.5,0.4,G
27.9,26.9,2.7,3.1,1.0,0.43,24.0,24.67,3.33,2.78,0.09,0.12,O
27.9,26.9,2.7,3.1,1.0,0.43,29.0,27.0,2.42,2.75,0.5,0.33,G
28.32,29.4,2.33,2.27,0.9,1.14,25.6,26.33,2.8,2.44,0.67,0.5,O
28.32,29.4,2.33,2.27,0.9,1.14,30.0,32.2,2.4,1.2,4.0,4.0,G
29.78,27.0,1.78,3.0,2.0,1.5,28.2,29.47,2.6,2.18,1.0,1.0,O
29.78,27.0,1.78,3.0,2.0,1.5,25.14,26.15,3.36,2.62,0.17,0.18,O
29.78,27.0,1.78,3.0,2.0,1.5,27.8,27.9,2.87,2.8,0.67,1.0,O
29.68,29.44,2.6,1.88,1.35,1.78,29.56,30.86,2.38,1.61,1.0,2.5,G
29.68,29.44,2.6,1.88,1.35,1.78,25.33,27.0,3.67,2.75,0.29,0.33,O
31.2,30.73,1.63,2.0,3.29,2.64,24.97,27.8,3.62,3.0,0.33,0.67,O
31.2,30.73,1.63,2.0,3.29,2.64,29.5,29.95,2.45,2.0,1.86,1.44,G
31.2,30.73,1.63,2.0,3.29,2.64,30.69,30.9,1.78,1.82,6.5,5.25,G
31.2,30.73,1.63,2.0,3.29,2.64,29.8,31.12,1.7,1.76,2.33,4.0,G
28.93,27.8,2.4,3.2,1.73,0.67,25.6,26.33,2.8,2.44,0.67,0.5,O
28.93,27.8,2.4,3.2,1.73,0.67,28.6,29.4,2.6,2.07,0.67,1.5,G
29.5,29.95,2.45,2.0,1.86,1.44,20.4,24.8,3.4,2.6,0.0,0.25,G
29.5,29.95,2.45,2.0,1.86,1.44,28.11,28.79,2.16,2.29,1.71,1.0,G
29.5,29.95,2.45,2.0,1.86,1.44,29.16,29.0,1.84,2.47,0.9,1.11,G
28.4,28.55,1.93,2.35,1.14,0.67,28.11,28.79,2.16,2.29,1.71,1.0,G
28.4,28.55,1.93,2.35,1.14,0.67,29.58,30.0,2.29,2.41,1.4,1.9,O
28.4,28.55,1.93,2.35,1.14,0.67,29.55,29.59,1.83,2.24,1.64,1.83,G
29.47,26.78,2.12,2.44,1.29,0.5,26.67,26.5,2.5,3.43,0.5,0.4,O
29.47,26.78,2.12,2.44,1.29,0.5,29.55,29.59,1.83,2.24,1.64,1.83,G
29.47,26.78,2.12,2.44,1.29,0.5,29.0,28.98,2.6,2.38,1.5,1.35,G
24.62,26.2,3.38,3.0,0.32,0.25,28.47,26.68,2.16,3.28,0.73,0.56,O
29.0,28.36,2.0,2.84,1.5,0.92,25.0,25.0,3.0,3.0,0.0,0.0,O
29.0,28.36,2.0,2.84,1.5,0.92,25.5,26.0,3.0,2.5,1.0,1.0,G
29.0,28.36,2.0,2.84,1.5,0.92,29.0,29.25,2.5,2.5,1.0,1.0,G
30.03,30.94,2.19,1.61,2.44,5.2,25.14,26.15,3.36,2.62,0.17,0.18,G
30.03,30.94,2.19,1.61,2.44,5.2,29.47,28.13,1.97,3.07,1.31,1.5,O
28.93,27.5,2.4,2.7,1.73,1.0,28.2,28.7,2.8,2.9,0.67,4.0,G
28.93,27.5,2.4,2.7,1.73,1.0,27.85,28.13,2.85,2.13,0.54,0.88,G
26.4,29.0,3.6,2.1,1.5,2.33,25.89,26.78,2.44,2.44,0.5,0.5,G
26.4,29.0,3.6,2.1,1.5,2.33,29.0,30.35,3.07,2.03,0.5,1.83,G
28.79,28.0,2.07,2.3,2.22,1.5,26.5,28.16,3.5,2.68,0.0,0.58,O
28.79,28.0,2.07,2.3,2.22,1.5,29.0,30.35,3.07,2.03,0.5,1.83,G
29.26,27.8,2.0,3.0,1.27,0.67,31.0,28.52,1.2,2.68,1.5,1.5,O
29.55,31.47,1.83,1.6,1.64,4.0,29.0,30.35,3.07,2.03,0.5,1.83,O
29.55,31.47,1.83,1.6,1.64,4.0,26.5,28.16,3.5,2.68,0.0,0.58,G
29.55,31.47,1.83,1.6,1.64,4.0,28.79,28.0,2.07,2.3,2.22,1.5,G
26.8,29.59,2.3,2.24,1.5,1.83,28.32,28.47,2.33,2.67,0.9,2.0,O
